"Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked","HasCabin","Fare_capped","Age_norm","Fare_norm","Age_z","Fare_z","Sex_encoded","Embarked_C","Embarked_Q","Embarked_S","Survived_label"
0,"3rd","male",22,1,0,7.25,"S",0,7.25,0.271173661724051,0.11046036834343,-0.534590915209605,-0.820091850361366,1,0,0,1,"No"
1,"1st","female",38,1,0,71.2833,"C",1,65.6344,0.472229203317416,1,0.66801657160677,2.03048281603878,0,1,0,0,"Yes"
1,"3rd","female",26,0,0,7.925,"S",0,7.925,0.321437547122393,0.120744609534025,-0.233939043505511,-0.787135480169669,0,0,0,1,"Yes"
1,"1st","female",35,1,0,53.1,"S",1,53.1,0.43453128926866,0.809026973660154,0.4425276678287,1.41850011006722,0,0,0,1,"Yes"
0,"3rd","male",35,0,0,8.05,"S",0,8.05,0.43453128926866,0.122649098643394,0.4425276678287,-0.781032448652689,1,0,0,1,"No"
0,"3rd","male",25,0,0,8.4583,"Q",0,8.4583,0.308871575772807,0.128869921870239,-0.309102011431534,-0.761097506505622,1,0,1,0,"No"
0,"1st","male",54,0,0,51.8625,"S",1,51.8625,0.673284744910782,0.790172531477396,1.87062405842314,1.35808009804911,1,0,0,1,"No"
0,"3rd","male",2,3,1,21.075,"S",0,21.075,0.0198542347323448,0.321096863839694,-2.03785027373007,-0.145096564583281,1,0,0,1,"No"
1,"3rd","female",27,0,2,11.1333,"S",0,11.1333,0.334003518471978,0.169625988810746,-0.158776075579488,-0.630492632042231,0,0,0,1,"Yes"
1,"2nd","female",14,1,0,30.0708,"C",0,30.0708,0.170645890927369,0.458156088880221,-1.13589465861779,0.294116642780371,0,1,0,0,"Yes"
1,"3rd","female",4,1,1,16.7,"S",1,16.7,0.0449861774315155,0.254439745011762,-1.88752433787803,-0.358702667677612,0,0,0,1,"Yes"
1,"1st","female",58,0,0,26.55,"S",1,26.55,0.723548630309123,0.404513486830077,2.17127593012724,0.122216215860481,0,0,0,1,"Yes"
